Year,Month,System,TotalVolume_ML
2012,7,Ballarat,56502
2012,7,Bendigo,126533
2012,7,Broken,40768
2012,7,Campaspe,240205
2012,7,Geelong,86441
2012,7,Glenelg/Wimmera,292010
2012,7,Goulburn,3487078
2012,7,Latrobe,244112
2012,7,Loddon,226232
2012,7,Maribyrnong,20052
2012,7,Melbourne,1326440
2012,7,Murray,4512185
2012,7,Ovens,28501
2012,7,South Gippsland,8373
2012,7,Thomson/Macalister,159795
2012,7,Werribee,63742
2012,8,,41327
2012,8,Ballarat,57787
2012,8,Bendigo,129540
2012,8,Broken,40828
2012,8,Campaspe,253344
2012,8,Geelong,91087
2012,8,Glenelg/Wimmera,314020
2012,8,Goulburn,3646940
2012,8,Latrobe,244235
2012,8,Loddon,230819
2012,8,Maribyrnong,23683
2012,8,Melbourne,1390887
2012,8,Murray,4639569
2012,8,Ovens,28303
2012,8,South Gippsland,8373
2012,8,Thomson/Macalister,169022
2012,8,Werribee,68174
2012,9,,46644
2012,9,Ballarat,58038
2012,9,Bendigo,126781
2012,9,Broken,40528
2012,9,Campaspe,248199
2012,9,Geelong,92396
2012,9,Glenelg/Wimmera,320330
2012,9,Goulburn,3746069
2012,9,Latrobe,244436
2012,9,Loddon,231308
2012,9,Maribyrnong,24108
2012,9,Melbourne,1453754
2012,9,Murray,4771307
2012,9,Ovens,27903
2012,9,South Gippsland,8373
2012,9,Thomson/Macalister,175572
2012,9,Werribee,67560
2012,10,,43072
2012,10,Ballarat,57886
2012,10,Bendigo,125966
2012,10,Broken,40168
2012,10,Campaspe,244836
2012,10,Geelong,91988
2012,10,Glenelg/Wimmera,304691
2012,10,Goulburn,3730562
2012,10,Latrobe,243959
2012,10,Loddon,228352
2012,10,Maribyrnong,24091
2012,10,Melbourne,1471321
2012,10,Murray,4734579
2012,10,Ovens,35363
2012,10,South Gippsland,8246
2012,10,Thomson/Macalister,171288
2012,10,Werribee,66852
2012,11,,42320
2012,11,Ballarat,56549
2012,11,Bendigo,121880
2012,11,Broken,38614
2012,11,Campaspe,227997
2012,11,Geelong,88400
2012,11,Glenelg/Wimmera,286180
2012,11,Goulburn,3530264
2012,11,Latrobe,242448
2012,11,Loddon,218561
2012,11,Maribyrnong,23801
2012,11,Melbourne,1472268
2012,11,Murray,4600231
2012,11,Ovens,37239
2012,11,South Gippsland,7772
2012,11,Thomson/Macalister,158976
2012,11,Werribee,63545
2012,12,,41574
2012,12,Ballarat,56016
2012,12,Bendigo,116721
2012,12,Broken,35592
2012,12,Campaspe,220137
2012,12,Geelong,84684
2012,12,Glenelg/Wimmera,269030
2012,12,Goulburn,3323816
2012,12,Latrobe,241633
2012,12,Loddon,209847
2012,12,Maribyrnong,23287
2012,12,Melbourne,1461678
2012,12,Murray,4143561
2012,12,Ovens,37080
2012,12,South Gippsland,7506
2012,12,Thomson/Macalister,128639
2012,12,Werribee,59359
2013,1,,44081
2013,1,Ballarat,52727
2013,1,Bendigo,110343
2013,1,Broken,31534
2013,1,Campaspe,210808
2013,1,Geelong,79100
2013,1,Glenelg/Wimmera,247900
